,Year,Country,Participant,Song,Points,Competition,Qualified,Rank,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
68,2022,Denmark,REDDI,The Show,55,First Semi-Final,no,13th,0.312,0.803,0,-5.019,1,0.0562,0.0162,0,0.367,0.214,90.261,180000
69,2022,Austria,LUM!X feat. Pia Maria,Halo,42,First Semi-Final,no,15th,0.568,0.91,8,-5.172,1,0.0371,0.0017,0,0.528,0.691,149.913,159600
70,2022,Iceland,Systur,Með Hækkandi Sól,103,First Semi-Final,yes,10th,0.578,0.519,2,-11.559,0,0.0303,0.583,0.0392,0.0656,0.35,99.975,180733
71,2022,Greece,Amanda Georgiadi Tenfjord,Die Together,211,First Semi-Final,yes,3rd,0.475,0.366,5,-8.365,1,0.0661,0.122,0,0.102,0.202,149.982,175467
72,2022,Norway,Subwoolfer,Give That Wolf A Banana,177,First Semi-Final,yes,6th,0.737,0.526,7,-10.101,0,0.0411,0.2,2.78e-06,0.0884,0.554,124.075,171933
73,2022,Armenia,Rosa Linn,Snap,187,First Semi-Final,yes,5th,0.565,0.636,0,-8.198,1,0.0638,0.107,9.9e-06,0.447,0.525,170.01,179551
74,2022,Finland,The Rasmus,Jezebel,162,Second Semi-Final,yes,7th,0.495,0.867,11,-4.111,0,0.0444,0.00298,0,0.0763,0.487,116.009,190863
75,2022,Israel,Michael Ben David,I.M,61,Second Semi-Final,no,13th,0.699,0.822,8,-6.571,0,0.0557,0.0119,0,0.127,0.451,120.016,163041
76,2022,Serbia,Konstrakta,In Corpore Sano,237,Second Semi-Final,yes,3rd,0.922,0.705,0,-7.457,1,0.0841,0.00641,1.47e-05,0.169,0.629,135.944,179483
77,2022,Azerbaijan,Nadir Rustamli,Fade To Black,96,Second Semi-Final,yes,10th,0.34,0.297,9,-9.792,0,0.063,0.189,0,0.141,0.299,78.705,177387
78,2022,Georgia,Circus Mircus,Lock Me In,22,Second Semi-Final,no,18th,0.785,0.763,2,-9.152,1,0.0381,0.00439,9.49e-05,0.298,0.839,106.959,157771
79,2022,Malta,Emma Muscat,I Am What I Am,47,Second Semi-Final,no,16th,0.563,0.712,7,-4.828,1,0.0296,0.037,0,0.0865,0.383,97.875,182196
80,2022,San Marino,Achille Lauro,Stripper,50,Second Semi-Final,no,14th,0.601,0.799,9,-5.697,1,0.0975,0.00315,0,0.0759,0.554,140.064,173013
81,2022,Australia,Sheldon Riley,Not The Same,243,Second Semi-Final,yes,2nd,0.355,0.429,10,-10.438,0,0.0388,0.662,0,0.145,0.376,127.876,178326
